,ID,Title,Year,Rating,Genres,Director,Top_Cast_Member,Revenue,Production_Companies
152,9806,The Incredibles,2004,7.7,"['Action', 'Adventure', 'Animation', 'Family']",Brad Bird,Craig T. Nelson,631442092,"['Walt Disney Pictures', 'Pixar']"
153,1913,The Sea Inside,2004,7.6,['Drama'],Alejandro Amenábar,Javier Bardem,38535221,"['Canal+', 'Sogecine', 'Himenóptero', 'Eurimages', 'Union Générale Cinématographique (UGC)', 'TVG', 'Ministerio de Cultura', 'Sogepaq', 'Eyescreen S.r.l.', 'Filmanova', 'TVE', 'Fine Line Features']"
154,24653,The Consequences of Love,2004,7.6,"['Drama', 'Thriller']",Paolo Sorrentino,Toni Servillo,0,"['Medusa Film', 'Fandango', 'Indigo Film']"
155,1954,The Butterfly Effect,2004,7.6,"['Science Fiction', 'Thriller']",Eric Bress,Ashton Kutcher,96060858,"['FilmEngine', 'Katalyst Films', 'BenderSpink', 'New Line Cinema']"
156,747,Shaun of the Dead,2004,7.5,"['Horror', 'Comedy']",Edgar Wright,Simon Pegg,30100000,"['WT2 Productions', 'StudioCanal', 'Working Title Films', 'Big Talk Productions', 'Film4 Productions', 'Rogue Pictures', 'Universal Pictures']"
157,4553,The Machinist,2004,7.5,"['Thriller', 'Drama']",Brad Anderson,Christian Bale,8203235,"['ICF', 'Castelao Productions', 'Canal+ España', 'Filmax', 'Paramount Vantage', 'MEDIA Programme of the European Union']"
158,15165,Barbie as The Princess & the Pauper,2004,7.5,"['Animation', 'Family', 'Comedy']",William Lau,Kelly Sheridan,0,['Mainframe Entertainment']
159,615,The Passion of the Christ,2004,7.5,['Drama'],Mel Gibson,Jim Caviezel,611900000,['Icon Productions']
160,4348,Pride & Prejudice,2005,8.1,"['Drama', 'Romance']",Joe Wright,Keira Knightley,121616555,"['Focus Features', 'Universal Pictures', 'StudioCanal', 'Working Title Films', 'Scion Films']"
161,674,Harry Potter and the Goblet of Fire,2005,7.8,"['Adventure', 'Fantasy']",Mike Newell,Daniel Radcliffe,895921036,"['Warner Bros. Pictures', 'Heyday Films', 'Patalex IV Productions Limited']"
162,142,Brokeback Mountain,2005,7.8,"['Drama', 'Romance']",Ang Lee,Heath Ledger,178043761,"['Focus Features', 'River Road Entertainment', 'Alberta Film Entertainment']"
163,272,Batman Begins,2005,7.7,"['Action', 'Crime', 'Drama']",Christopher Nolan,Christian Bale,374218673,"['Warner Bros. Pictures', 'DC Comics', 'Syncopy', 'Legendary Pictures', 'Patalex III Productions Limited']"
164,1904,Memoirs of a Geisha,2005,7.7,"['Drama', 'Romance', 'History']",Rob Marshall,Zhang Ziyi,162242962,"['Columbia Pictures', 'DreamWorks Pictures', 'Spyglass Entertainment', 'Amblin Entertainment', 'Red Wagon Entertainment']"
165,9912,The World's Fastest Indian,2005,7.6,"['Drama', 'Adventure', 'History']",Roger Donaldson,Anthony Hopkins,0,"['New Zealand Film Commission', '2929 Productions', 'OLC / Rights Entertainment', 'Tanlay', 'New Zealand Film Production Fund', '3 Dogs & a Pony', 'Park Road Post', 'WFI Productions Ltd.']"
166,7214,Coach Carter,2005,7.6,"['Drama', 'History']",Thomas Carter,Samuel L. Jackson,76700000,"['Paramount', 'MTV Films', 'Tollin/Robbins Productions']"
167,11171,Mysterious Skin,2005,7.6,['Drama'],Gregg Araki,Brady Corbet,1524966,"['Desperate Pictures', 'Fortissimo Films', 'Antidote Films']"
168,4550,Lady Vengeance,2005,7.6,"['Drama', 'Thriller']",Park Chan-wook,Lee Young-ae,23803308,"['TSJ Entertainment', 'Ilshin Capital Investments', 'Centurion Investment', 'Moho Film', 'CJ Entertainment']"
169,3933,Corpse Bride,2005,7.5,"['Romance', 'Fantasy', 'Animation']",Tim Burton,Johnny Depp,118100000,"['Tim Burton Productions', 'Laika Entertainment', 'Patalex Productions', 'Warner Bros. Pictures', 'Will Vinton Studios']"
170,921,Cinderella Man,2005,7.5,"['Romance', 'Drama', 'History']",Ron Howard,Russell Crowe,108539911,"['Universal Pictures', 'Miramax', 'Imagine Entertainment', 'Brian Grazer Productions', 'Parkway Productions']"
171,501,Grizzly Man,2005,7.5,['Documentary'],Werner Herzog,Timothy Treadwell,0,['Discovery Docs']
172,69,Walk the Line,2005,7.5,"['Drama', 'Music', 'Romance']",James Mangold,Joaquin Phoenix,186800000,"['Mars Media Beteiligungs', 'Tree Line Films', 'Konrad Pictures', 'Catfish Productions', 'Fox 2000 Pictures']"
173,11344,A Bittersweet Life,2005,7.5,"['Action', 'Drama', 'Crime']",Kim Jee-woon,Lee Byung-hun,0,"['Bom Film Productions', 'CJ Entertainment']"
174,1023,Adam's Apples,2005,7.5,"['Drama', 'Comedy', 'Crime']",Anders Thomas Jensen,Mads Mikkelsen,0,['M&M Productions']
175,187,Sin City,2005,7.4,"['Thriller', 'Action', 'Crime']",Robert Rodriguez,Bruce Willis,158733820,"['Dimension Films', 'Troublemaker Studios', 'Miramax']"
176,11661,Joyeux Noel,2005,7.4,"['Drama', 'War', 'Romance', 'History']",Christian Carion,Diane Kruger,17709155,"['Senator Film', 'Media Pro Pictures', 'The Bureau', 'Artémis Productions', 'Les Productions de la Guéville', 'TF1 Films Production', 'Nord-Ouest Films', 'Canal+', 'Ciné Cinéma']"
177,1895,Star Wars: Episode III - Revenge of the Sith,2005,7.4,"['Adventure', 'Action', 'Science Fiction']",George Lucas,Hayden Christensen,850000000,['Lucasfilm Ltd.']
178,16320,Serenity,2005,7.4,"['Science Fiction', 'Action', 'Adventure', 'Thriller']",Joss Whedon,Nathan Fillion,38869464,"['Universal Pictures', 'Barry Mendel Productions']"
179,116,Match Point,2005,7.4,"['Drama', 'Thriller', 'Crime', 'Romance']",Woody Allen,Jonathan Rhys Meyers,85306374,"['BBC Film', 'Thema Production', 'Jada']"
180,1124,The Prestige,2006,8.2,"['Drama', 'Mystery', 'Science Fiction']",Christopher Nolan,Christian Bale,109676311,"['Warner Bros. Pictures', 'Touchstone Pictures', 'Newmarket Films', 'Syncopy']"
181,1422,The Departed,2006,8.2,"['Drama', 'Thriller', 'Crime']",Martin Scorsese,Jack Nicholson,291465000,"['Vertigo Entertainment', 'Media Asia Films', 'Initial Entertainment Group', 'Warner Bros. Pictures', 'Plan B Entertainment']"
182,582,The Lives of Others,2006,8.0,"['Drama', 'Thriller']",Florian Henckel von Donnersmarck,Martina Gedeck,70000000,"['Creado Film', 'Wiedemann & Berg Film', 'ARD', 'Sony Pictures Classics', 'ARTE', 'Buena Vista International (Germany) GmbH', 'Beta Cinema']"
183,1402,The Pursuit of Happyness,2006,7.9,['Drama'],Gabriele Muccino,Will Smith,307077295,"['Escape Artists', 'Relativity Media', 'Columbia Pictures', 'Overbrook Entertainment']"
184,752,V for Vendetta,2006,7.9,"['Action', 'Thriller', 'Science Fiction']",James McTeigue,Natalie Portman,132511035,"['Virtual Studios', 'Anarchos Productions', 'Silver Pictures', 'Fünfte Babelsberg Film', 'Warner Bros. Productions', 'DC Vertigo']"
185,4977,Paprika,2006,7.8,"['Animation', 'Mystery', 'Science Fiction', 'Thriller']",Satoshi Kon,Megumi Hayashibara,946590,"['Madhouse', 'Sony Pictures']"
186,14069,The Girl Who Leapt Through Time,2006,7.8,"['Fantasy', 'Animation', 'Drama', 'Science Fiction']",Mamoru Hosoda,Riisa Naka,3800000,"['Madhouse', 'Happinet Pictures', 'KADOKAWA', 'KADOKAWA Shoten', 'Q-TEC', 'Memory-Tech']"
187,1417,Pan's Labyrinth,2006,7.8,"['Fantasy', 'Drama', 'War']",Guillermo del Toro,Ivana Baquero,83258226,"['Estudios Picasso', 'Esperanto Filmoj', 'Tequila Gang', 'Telecinco Cinema']"
188,19026,Azur & Asmar: The Princes' Quest,2006,7.7,"['Animation', 'Family']",Michel Ocelot,Cyril Mourali,0,"['Nord-Ouest Films', 'Studio O', 'Mac Guff Ligne', 'France 3 Cinéma', 'Artémis Productions', 'Intuition Films', 'Lucky Red', 'Zahorí Media', 'Auvergne-Rhône-Alpes Cinéma']"
189,773,Little Miss Sunshine,2006,7.7,"['Comedy', 'Drama']",Jonathan Dayton,Greg Kinnear,100523181,"['Fox Searchlight Pictures', 'Bona Fide Productions', 'Big Beach']"
190,13002,Barbie in The 12 Dancing Princesses,2006,7.7,"['Animation', 'Family']",Greg Richardson,Kelly Sheridan,0,"['Mainframe Entertainment', 'Mattel Entertainment']"
191,9693,Children of Men,2006,7.6,"['Drama', 'Action', 'Thriller', 'Science Fiction']",Alfonso Cuarón,Clive Owen,70595464,"['Universal Pictures', 'Strike Entertainment', 'Hit & Run Productions']"
192,14784,The Fall,2006,7.6,"['Adventure', 'Fantasy', 'Drama']",Tarsem Singh,Lee Pace,3669465,"['Absolute Entertainment', 'Googly Films', 'Deep Films', 'Tree Top Films Inc.', 'RadicalMedia', 'Summit Entertainment']"
193,1544,Imagine Me & You,2006,7.6,"['Drama', 'Comedy', 'Romance']",Ol Parker,Piper Perabo,2455831,"['BBC Film', 'Filmstiftung Nordrhein-Westfalen', 'Ealing Studios', 'Fragile Films', 'Focus Features', 'Cougar Films Ltd.', 'Minotaur Film Partnership No. 3', 'RTL', 'X Filme Creative Pool']"
194,1579,Apocalypto,2006,7.6,"['Action', 'Drama', 'History']",Mel Gibson,Rudy Youngblood,120673227,"['Icon Entertainment International', 'Icon Productions', 'Touchstone Pictures']"
195,36557,Casino Royale,2006,7.5,"['Adventure', 'Action', 'Thriller']",Martin Campbell,Daniel Craig,599045960,"['EON Productions', 'Stillking Films', 'Columbia Pictures', 'Studio Babelsberg', 'Danjaq', 'Metro-Goldwyn-Mayer', 'Casino Royale US', 'Casino Royale Productions', 'United Artists']"
